label,horizon_sec,slots,num_jobs,num_nodes,num_edges,total_demand,max_flow_value,coverage_ratio,flow_algorithm,graph_build_sec,maxflow_sec,total_runtime_sec
10min,600,10,166,2983,4497,985.1484132452641,545.8812712880837,0.5541106943367529,edmonds_karp,0.01174116599999997,0.07192200000000004,0.08386758400000005
10min,600,10,166,2983,4497,985.1484132452641,545.881271288083,0.5541106943367522,preflow_push,0.00546258299999991,0.04689983299999989,0.0525090829999999
1h,3600,60,1008,17920,27828,5944.124036183131,3390.306331758569,0.5703626490835424,edmonds_karp,0.039921874999999885,3.564709709,3.6052846250000004
1h,3600,60,1008,17920,27828,5944.124036183131,3390.306331758605,0.5703626490835486,preflow_push,0.05669270900000001,0.49242958299999984,0.5497076659999998
