label,horizon_sec,slots,num_jobs,num_nodes,num_edges,total_demand,max_flow_value,coverage_ratio,graph_build_sec,maxflow_sec,total_runtime_sec
10min,600,10,50,1018,2016,2316.77366846832,207.54580346930055,0.0895839789160391,0.005578207999999973,0.00583612499999997,0.011466792000000003
1h,3600,60,312,6080,23332,14778.382904434613,11499.114903444228,0.7781037328511524,0.15273058299999998,0.915729958,1.068594417
6h,21600,360,1887,36455,298515,89783.7152880073,74922.44451427196,0.8344769903310026,5.493286834,53.610526792,59.104625542
12h,43200,720,3775,72903,865192,179575.91039060973,150978.3754614212,0.8407496035131674,23.43011875,313.905962875,337.33789575
24h,86400,1440,7555,145803,2150486,359448.5460952605,303554.81405830785,0.8445014379828935,92.85677662500001,1441.268877959,1534.129125708
