algorithm,battery_capacity_seconds,completed_job_ratio,coverage_ratio,cpu_cycles_per_second,energy_per_cpu_cycle,horizon_sec,parameter_key,parameter_label,parameter_value,satellite_solar_panel_power_watts,slot_len,slots,task_average_deadline,task_average_execution,task_average_period,time_slot_length,wall_clock_sec
random,7,0.4176587301587302,0.4986805103073098,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),7,14,60,60,30,50,220,60,0.008608750000000498
maxflow_preflow_push,8,0.5763888888888888,0.6036066267696365,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),8,14,60,60,30,50,220,60,0.3913324580000008
energy_first,8,0.5565476190476191,0.5958153155384647,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),8,14,60,60,30,50,220,60,0.009210958000000602
edf,8,0.3382936507936508,0.45328903741711823,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),8,14,60,60,30,50,220,60,0.007252666999999491
random,8,0.4375,0.5077567016983617,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),8,14,60,60,30,50,220,60,0.008647165999999373
maxflow_preflow_push,9,0.5793650793650794,0.6048410427326836,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),9,14,60,60,30,50,220,60,0.3497878750000005
energy_first,9,0.5595238095238095,0.5986058872389118,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),9,14,60,60,30,50,220,60,0.00922058300000117
edf,9,0.3382936507936508,0.45783133832397105,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),9,14,60,60,30,50,220,60,0.00723741700000069
random,9,0.4384920634920635,0.5157845882470403,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),9,14,60,60,30,50,220,60,0.00858395800000089
maxflow_preflow_push,10,0.5793650793650794,0.6048410427326849,10000000000.0,1e-08,3600,battery_capacity_seconds,Battery capacity (s),10,14,60,60,30,50,220,60,0.3253017079999996
