Nc,Ns,Nt,algorithm,battery_capacity_seconds,completed_job_ratio,completed_jobs,coverage_ratio,cpu_cycles_per_second,energy_per_cpu_cycle,horizon_label,horizon_sec,objective_mode,scenario,slot_len,slots,solver_status,wall_clock_sec
6,48,60,maxflow_preflow_push,2400,0.5884476534296029,652,0.6041079882768013,1e+18,1e-08,1h,3600,,baseline,60,60,,1.738838458
6,48,60,milp_small,2400,0.5658844765342961,627,0.6003637923056687,1e+18,1e-08,1h,3600,throughput,baseline,60,60,Optimal,2.7175710000000004
6,48,60,energy_first,2400,0.5749097472924187,637,0.6001188047420551,1e+18,1e-08,1h,3600,,baseline,60,60,,0.07127654099999958
6,48,60,edf,2400,0.5749097472924187,637,0.6025948496946543,1e+18,1e-08,1h,3600,,baseline,60,60,,0.025261624999999732
6,48,60,random,2400,0.5370036101083032,595,0.5701349715823979,1e+18,1e-08,1h,3600,,baseline,60,60,,0.029701625000000398
