case_name,random_seed,Nc,Ns,Nt,slot_len,visit_prob,psi,phi,tau_b,running_time_sec,feasible,expected_feasible,graph_build_time_sec,max_flow_time_sec,coverage_ratio
Nc50_Ns100_Nt96_Slot600.0,2,50,100,96,600.0,0.3,1.0,1.0,50.0,130.86960629816167,False,,16.213636060943827,114.6351089340169,0.0862046678966092
Nc50_Ns100_Nt120_Slot600.0,2,50,100,120,600.0,0.3,1.0,1.0,50.0,173.37601269991137,False,,13.345250436104834,160.01197563298047,0.08866283069881224
Nc50_Ns100_Nt24_Slot600.0,0,50,100,24,600.0,0.3,1.0,1.0,50.0,5.667839176952839,False,,0.5004503959789872,5.163965943036601,0.0829497077953103
Nc50_Ns100_Nt48_Slot600.0,0,50,100,48,600.0,0.3,1.0,1.0,50.0,19.75348017900251,False,,0.8354257768951356,18.913891074014828,0.10212390056213227
Nc50_Ns100_Nt72_Slot600.0,0,50,100,72,600.0,0.3,1.0,1.0,50.0,49.640109868953004,False,,2.6680006699170917,46.96388150099665,0.08640802296263156
Nc50_Ns100_Nt96_Slot600.0,0,50,100,96,600.0,0.3,1.0,1.0,50.0,94.13656770111993,False,,4.704902213066816,89.41986401588656,0.07881594845817291
Nc50_Ns100_Nt120_Slot600.0,0,50,100,120,600.0,0.3,1.0,1.0,50.0,150.21879907511175,False,,6.785509675042704,143.4186271140352,0.07782717649275246
Nc50_Ns100_Nt144_Slot600.0,0,50,100,144,600.0,0.3,1.0,1.0,50.0,213.6103625728283,False,,6.6484140928369015,206.94477215595543,0.09753314523951126
Nc50_Ns100_Nt24_Slot600.0,1,50,100,24,600.0,0.3,1.0,1.0,50.0,5.225678614107892,False,,0.2924877528566867,4.9308136000763625,0.08492634172785461
Nc50_Ns100_Nt48_Slot600.0,1,50,100,48,600.0,0.3,1.0,1.0,50.0,25.868308149045333,False,,1.7743109879083931,24.087542727822438,0.0922208443289977
Nc50_Ns100_Nt72_Slot600.0,1,50,100,72,600.0,0.3,1.0,1.0,50.0,49.494487733813,False,,2.091824776958674,47.394941977923736,0.07832648417566154
Nc50_Ns100_Nt96_Slot600.0,1,50,100,96,600.0,0.3,1.0,1.0,50.0,95.32678139908239,False,,3.862264812923968,91.42103504389524,0.07885415023721326
Nc50_Ns100_Nt120_Slot600.0,1,50,100,120,600.0,0.3,1.0,1.0,50.0,134.40997833409347,False,,7.892023226013407,126.50302246003412,0.09079470819659814
Nc50_Ns100_Nt144_Slot600.0,1,50,100,144,600.0,0.3,1.0,1.0,50.0,180.82340873102657,False,,8.066057013114914,172.74200648185797,0.07374902835276159
Nc50_Ns100_Nt24_Slot600.0,2,50,100,24,600.0,0.3,1.0,1.0,50.0,5.263088905019686,False,,0.391443929169327,4.869177164044231,0.07500974545650348
Nc50_Ns100_Nt48_Slot600.0,2,50,100,48,600.0,0.3,1.0,1.0,50.0,20.055237555177882,False,,1.1771892248652875,18.873443549964577,0.0961654785911658
Nc50_Ns100_Nt72_Slot600.0,2,50,100,72,600.0,0.3,1.0,1.0,50.0,54.23385441000573,False,,5.750254927901551,48.4719988941215,0.0775256085536215
Nc50_Ns100_Nt96_Slot600.0,2,50,100,96,600.0,0.3,1.0,1.0,50.0,130.86960629816167,False,,16.213636060943827,114.6351089340169,0.0862046678966092
Nc50_Ns100_Nt120_Slot600.0,2,50,100,120,600.0,0.3,1.0,1.0,50.0,173.37601269991137,False,,13.345250436104834,160.01197563298047,0.08866283069881224
Nc50_Ns100_Nt144_Slot600.0,2,50,100,144,600.0,0.3,1.0,1.0,50.0,172.2614108659327,False,,5.154308998957276,167.0930671240203,0.09519535683104216
