Nc,Ns,Nt,algorithm,battery_capacity_seconds,coverage_ratio,cpu_cycles_per_second,energy_per_cpu_cycle,expected_feasible,feasible,horizon_sec,max_flow_value,num_edges,num_jobs,num_nodes,satellite_solar_panel_power_watts,tag,task_average_deadline,task_average_execution,task_average_period,time_slot_length,total_demand
6,48,1440,maxflow,7200,0.8445014379828945,20000000000.0,1e-09,,False,86400,303554.8140583082,2150486,7555,145803,40.0,phi=2.00e+10,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8052760548467136,20000000000.0,1e-09,,False,86400,289455.30711995595,,7555,,40.0,phi=2.00e+10,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,20000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,phi=2.00e+10,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,20000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,phi=2.00e+10,300,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8445014379828951,10000000000.0,2.5e-09,,False,86400,303554.81405830843,2150486,7555,145803,40.0,psi=2.5e-09,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8047419032912665,10000000000.0,2.5e-09,,False,86400,289263.30711995595,,7555,,40.0,psi=2.5e-09,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,10000000000.0,2.5e-09,,False,86400,41914.857883656776,,7555,,40.0,psi=2.5e-09,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,10000000000.0,2.5e-09,,False,86400,41914.857883656776,,7555,,40.0,psi=2.5e-09,300,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,tau_b=7200,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8077191425063909,10000000000.0,1e-09,,False,86400,290333.47142721014,,7555,,40.0,tau_b=7200,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,tau_b=7200,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,tau_b=7200,300,50,300,60,359448.54609524313
6,48,1440,maxflow,600,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,tau_b=600,300,50,300,60,359448.5460952605
6,48,1440,energy_first,600,0.7414291444248782,10000000000.0,1e-09,,False,86400,266505.62799615465,,7555,,40.0,tau_b=600,300,50,300,60,359448.54609523254
6,48,1440,random,600,0.11560046263611895,10000000000.0,1e-09,,False,86400,41552.418222490436,,7555,,40.0,tau_b=600,300,50,300,60,359448.54609524313
6,48,1440,edf,600,0.11560046263611895,10000000000.0,1e-09,,False,86400,41552.418222490436,,7555,,40.0,tau_b=600,300,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8445014379828945,10000000000.0,3.5e-09,,False,86400,303554.8140583082,2150486,7555,145803,40.0,psi=3.5e-09,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8041314443707558,10000000000.0,3.5e-09,,False,86400,289043.87854852754,,7555,,40.0,psi=3.5e-09,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,10000000000.0,3.5e-09,,False,86400,41914.857883656776,,7555,,40.0,psi=3.5e-09,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,10000000000.0,3.5e-09,,False,86400,41914.857883656776,,7555,,40.0,psi=3.5e-09,300,50,300,60,359448.54609524313
6,48,1440,maxflow,10800,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,tau_b=10800,300,50,300,60,359448.5460952605
6,48,1440,energy_first,10800,0.8077191425063909,10000000000.0,1e-09,,False,86400,290333.47142721014,,7555,,40.0,tau_b=10800,300,50,300,60,359448.54609523254
6,48,1440,random,10800,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,tau_b=10800,300,50,300,60,359448.54609524313
6,48,1440,edf,10800,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,tau_b=10800,300,50,300,60,359448.54609524313
6,48,1440,maxflow,9000,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,tau_b=9000,300,50,300,60,359448.5460952605
6,48,1440,energy_first,9000,0.8077191425063909,10000000000.0,1e-09,,False,86400,290333.47142721014,,7555,,40.0,tau_b=9000,300,50,300,60,359448.54609523254
6,48,1440,random,9000,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,tau_b=9000,300,50,300,60,359448.54609524313
6,48,1440,edf,9000,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,tau_b=9000,300,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8445014379828933,15000000000.0,1e-09,,False,86400,303554.8140583078,2150486,7555,145803,40.0,phi=1.50e+10,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8061663074391253,15000000000.0,1e-09,,False,86400,289775.30711995583,,7555,,40.0,phi=1.50e+10,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,15000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,phi=1.50e+10,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,15000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,phi=1.50e+10,300,50,300,60,359448.54609524313
6,48,1440,maxflow,2400,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,tau_b=2400,300,50,300,60,359448.5460952605
6,48,1440,energy_first,2400,0.8077191425063909,10000000000.0,1e-09,,False,86400,290333.47142721014,,7555,,40.0,tau_b=2400,300,50,300,60,359448.54609523254
6,48,1440,random,2400,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,tau_b=2400,300,50,300,60,359448.54609524313
6,48,1440,edf,2400,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,tau_b=2400,300,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8445014379828938,12500000000.0,1e-09,,False,86400,303554.81405830797,2150486,7555,145803,40.0,phi=1.25e+10,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8068785095130545,12500000000.0,1e-09,,False,86400,290031.3071199557,,7555,,40.0,phi=1.25e+10,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,12500000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,phi=1.25e+10,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,12500000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,phi=1.25e+10,300,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8445014379828941,17500000000.0,1e-09,,False,86400,303554.8140583081,2150486,7555,145803,40.0,phi=1.75e+10,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8056575916720327,17500000000.0,1e-09,,False,86400,289592.4499770987,,7555,,40.0,phi=1.75e+10,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,17500000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,phi=1.75e+10,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,17500000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,phi=1.75e+10,300,50,300,60,359448.54609524313
6,48,1440,maxflow,1200,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,tau_b=1200,300,50,300,60,359448.5460952605
6,48,1440,energy_first,1200,0.8059437442910223,10000000000.0,1e-09,,False,86400,289695.30711995583,,7555,,40.0,tau_b=1200,300,50,300,60,359448.54609523254
6,48,1440,random,1200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,tau_b=1200,300,50,300,60,359448.54609524313
6,48,1440,edf,1200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,tau_b=1200,300,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8445014379828945,10000000000.0,2e-09,,False,86400,303554.8140583082,2150486,7555,145803,40.0,psi=2e-09,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8052760548467136,10000000000.0,2e-09,,False,86400,289455.30711995595,,7555,,40.0,psi=2e-09,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,10000000000.0,2e-09,,False,86400,41914.857883656776,,7555,,40.0,psi=2e-09,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,10000000000.0,2e-09,,False,86400,41914.857883656776,,7555,,40.0,psi=2e-09,300,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8445014379828935,10000000000.0,1e-09,,False,86400,303554.81405830785,2150486,7555,145803,40.0,psi=1e-09,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8077191425063909,10000000000.0,1e-09,,False,86400,290333.47142721014,,7555,,40.0,psi=1e-09,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,psi=1e-09,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,40.0,psi=1e-09,300,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8445014379828933,10000000000.0,1.5e-09,,False,86400,303554.8140583078,2150486,7555,145803,40.0,psi=1.5e-09,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.8061663074391253,10000000000.0,1.5e-09,,False,86400,289775.30711995583,,7555,,40.0,psi=1.5e-09,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,10000000000.0,1.5e-09,,False,86400,41914.857883656776,,7555,,40.0,psi=1.5e-09,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,10000000000.0,1.5e-09,,False,86400,41914.857883656776,,7555,,40.0,psi=1.5e-09,300,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8456906073822568,10000000000.0,1e-09,,False,86400,151865.66072945646,1179013,3775,142023,40.0,period=600,300,50,600,60,179575.91039060973
6,48,1440,energy_first,7200,0.8082158530130152,10000000000.0,1e-09,,False,86400,145136.09759694463,,3775,,40.0,period=600,300,50,600,60,179575.9103906211
6,48,1440,random,7200,0.11653806402154106,10000000000.0,1e-09,,False,86400,20927.42894182859,,3775,,40.0,period=600,300,50,600,60,179575.91039061997
6,48,1440,edf,7200,0.11653806402154106,10000000000.0,1e-09,,False,86400,20927.42894182859,,3775,,40.0,period=600,300,50,600,60,179575.91039061997
6,48,720,maxflow,7200,0.7236400787019048,10000000000.0,1e-09,,False,86400,260111.37418565957,955795,7555,76683,40.0,slot=120,300,50,300,120,359448.5460952605
6,48,720,energy_first,7200,0.6839508590365034,10000000000.0,1e-09,,False,86400,245845.1418812565,,7555,,40.0,slot=120,300,50,300,120,359448.54609523254
6,48,720,random,7200,0.11209509305349695,10000000000.0,1e-09,,False,86400,40292.418222490465,,7555,,40.0,slot=120,300,50,300,120,359448.54609524313
6,48,720,edf,7200,0.11209509305349695,10000000000.0,1e-09,,False,86400,40292.418222490465,,7555,,40.0,slot=120,300,50,300,120,359448.54609524313
6,48,1440,maxflow,7200,0.8452948645124089,10000000000.0,1e-09,,False,86400,182313.02872453642,1372775,4532,142780,40.0,period=500,300,50,500,60,215679.80166270141
6,48,1440,energy_first,7200,0.807914302247752,10000000000.0,1e-09,,False,86400,174250.79646927124,,4532,,40.0,period=500,300,50,500,60,215679.80166272158
6,48,1440,random,7200,0.11202849451031979,10000000000.0,1e-09,,False,86400,24162.28347655907,,4532,,40.0,period=500,300,50,500,60,215679.8016627216
6,48,1440,edf,7200,0.11202849451031979,10000000000.0,1e-09,,False,86400,24162.28347655907,,4532,,40.0,period=500,300,50,500,60,215679.8016627216
6,48,1440,maxflow,7200,0.8420014327938192,10000000000.0,1e-09,,False,86400,302656.1908278645,2150486,7555,145803,5,P_solar=5,300,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.7999759522273644,10000000000.0,1e-09,,False,86400,287550.19293927535,,7555,,5,P_solar=5,300,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,5,P_solar=5,300,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11660878403595097,10000000000.0,1e-09,,False,86400,41914.857883656776,,7555,,5,P_solar=5,300,50,300,60,359448.54609524313
6,48,960,maxflow,7200,0.7550043215870325,10000000000.0,1e-09,,False,86400,271385.2056900973,1349944,7555,99723,40.0,slot=90,300,50,300,90,359448.5460952605
6,48,960,energy_first,7200,0.7169596969948788,10000000000.0,1e-09,,False,86400,257710.12069368767,,7555,,40.0,slot=90,300,50,300,90,359448.54609523254
6,48,960,random,7200,0.1165207686336019,10000000000.0,1e-09,,False,86400,41883.220875248415,,7555,,40.0,slot=90,300,50,300,90,359448.54609524313
6,48,960,edf,7200,0.1165207686336019,10000000000.0,1e-09,,False,86400,41883.220875248415,,7555,,40.0,slot=90,300,50,300,90,359448.54609524313
6,48,1440,maxflow,7200,0.7225341617989196,10000000000.0,1e-09,,False,86400,259713.85396277934,1059178,7555,145803,40.0,deadline=150,150,50,300,60,359448.5460952605
6,48,1440,energy_first,7200,0.6596991694363088,10000000000.0,1e-09,,False,86400,237127.90731411366,,7555,,40.0,deadline=150,150,50,300,60,359448.54609523254
6,48,1440,random,7200,0.11443539972526258,10000000000.0,1e-09,,False,86400,41133.63805307362,,7555,,40.0,deadline=150,150,50,300,60,359448.54609524313
6,48,1440,edf,7200,0.11443539972526258,10000000000.0,1e-09,,False,86400,41133.63805307362,,7555,,40.0,deadline=150,150,50,300,60,359448.54609524313
6,48,1440,maxflow,7200,0.8450602430084688,10000000000.0,1e-09,,False,86400,227867.382206867,1664748,5666,143914,40.0,period=400,300,50,400,60,269646.3170432021
6,48,1440,energy_first,7200,0.807869952237601,10000000000.0,1e-09,,False,86400,217839.1572707518,,5666,,40.0,period=400,300,50,400,60,269646.3170432208
6,48,1440,random,7200,0.11207018882451256,10000000000.0,1e-09,,False,86400,30219.313666868158,,5666,,40.0,period=400,300,50,400,60,269646.31704322103
6,48,1440,edf,7200,0.11207018882451256,10000000000.0,1e-09,,False,86400,30219.313666868158,,5666,,40.0,period=400,300,50,400,60,269646.31704322103
6,48,1440,maxflow,7200,0.7749980153710727,10000000000.0,1e-09,,False,86400,278571.9098518444,1601416,7555,145803,40.0,deadline=225,225,50,300,60,359448.5460952605
