coverage_ratio,completed_workload,total_released_workload,job_deadline_miss_ratio,job_completion_ratio,workload_deadline_miss_ratio,completed_jobs_metric,missed_jobs,total_task_energy,total_energy_consumption,energy_per_completed_workload,energy_per_completed_job,min_battery_level,min_battery_ratio,avg_battery_ratio,average_battery_ratio,low_battery_slot_ratio_5,low_battery_slot_ratio_10,depletion_slot_ratio_0,depletion_slot_ratio_5,final_avg_battery_ratio,mean_per_task_coverage,min_per_task_coverage,std_per_task_coverage,jain_fairness_index,total_scheduled_energy_seconds,battery_invalid_low,battery_invalid_high,battery_raw_min_level,battery_raw_min_ratio,battery_raw_max_ratio,method,horizon_label,horizon_sec,slots,wall_clock_sec,solver_status
0.5541106943367524,545.8812712880836,985.1484132452621,0.4759036144578313,0.5240963855421686,0.4458893056632476,87,79,54588.12712880836,54588.12712880836,100.0,627.4497371127397,0.0,0.0,0.6908272104194552,0.6908272104194552,0.3088235294117647,0.3088235294117647,0.3088235294117647,0.3088235294117647,0.6911764705882355,0.11281305980155742,0.0,0.2522576704660313,0.16666666666666666,545.8812712880836,0.0,0.0,-5.329070518200751e-15,-1.0658141036401503e-14,1.0,ecoflow,10min,600,10,0.07264008300000002,
0.493815205720278,486.48126635171644,985.1484132452621,0.572289156626506,0.42771084337349397,0.506184794279722,71,95,48648.12663517165,48648.12663517165,100.0,685.1848821855161,0.0,0.0,0.7022058823529411,0.7022058823529411,0.2977941176470588,0.2977941176470588,0.2977941176470588,0.2977941176470588,0.7352941176470589,0.21822319533199608,0.0,0.3054284677095016,0.33796088771383204,486.48126635171644,0.0,0.0,0.0,0.0,1.0,energy_first,10min,600,10,0.0025638750000001043,
0.4677848591419701,460.8375117238721,985.1484132452621,0.6144578313253012,0.3855421686746988,0.5322151408580299,64,102,46083.75117238721,46083.75117238721,99.99999999999999,720.0586120685501,0.0,0.0,0.6948529411764706,0.6948529411764706,0.30514705882352944,0.30514705882352944,0.30514705882352944,0.30514705882352944,0.7279411764705882,0.22362455086997232,0.0,0.32068537183121637,0.3271763542925667,460.83751172387224,1.0,0.0,-7.9,-15.8,1.0,edf,10min,600,10,0.002966084000000091,
0.3906898738107855,384.88750925568854,985.1484132452621,0.6867469879518072,0.3132530120481928,0.6093101261892144,52,114,38488.75092556886,38488.75092556886,100.0,740.1682870301703,0.0,0.0,0.6977941176470588,0.6977941176470588,0.30220588235294116,0.30220588235294116,0.30220588235294116,0.30220588235294116,0.7205882352941176,0.213011907798023,0.0,0.30563843696052173,0.3269286234918332,384.88750925568854,1.0,0.0,-7.9,-15.8,1.0,random,10min,600,10,0.0026711249999999964,
0.5541106941965881,545.88127115,985.1484132452621,0.4819277108433735,0.5180722891566265,0.4458893058034119,86,80,54588.127114999996,54588.127114999996,100.0,634.7456641279069,0.0,0.0,0.6875000001764706,0.6875000001764706,0.3125,0.3125,0.3088235294117647,0.3125,0.7279411764705882,0.11281305977302088,0.0,0.2522576704022217,0.16666666666666666,545.88127115,0.0,0.0,-2.999999892949745e-08,-5.99999978589949e-08,1.0,milp,10min,600,10,0.26202083399999987,Optimal
0.5703626490835482,3390.3063317585816,5944.124036183113,0.46924603174603174,0.5307539682539683,0.42963735091645183,535,473,339030.6331758582,339030.6331758582,100.0,633.7021180857163,0.0,0.0,0.8590686274509803,0.8590686274509803,0.14044117647058824,0.14044117647058824,0.14044117647058824,0.14044117647058824,0.9558823529411765,0.11677473077853988,0.0,0.2611162360750521,0.16666666666666669,3390.306331758582,0.0,0.0,-5.329070518200751e-15,-1.0658141036401503e-14,1.0,ecoflow,1h,3600,60,0.8539697499999996,
0.5146490159269438,3059.13758576938,5944.124036183113,0.5892857142857143,0.4107142857142857,0.4853509840730562,414,594,305913.758576938,305913.758576938,100.0,738.9221221665169,0.0,0.0,0.8676470588235294,0.8676470588235294,0.1323529411764706,0.1323529411764706,0.1323529411764706,0.1323529411764706,0.9705882352941176,3.3028628296853637,0.325122721228499,5.445295385263002,0.26895621184781615,3059.1375857693806,0.0,0.0,0.0,0.0,1.0,energy_first,1h,3600,60,0.01590337499999972,
0.47082737131657854,2798.656294735828,5944.124036183113,0.6498015873015873,0.3501984126984127,0.5291726286834215,353,655,279865.6294735828,279865.6294735828,100.0,792.8204800951354,0.0,0.0,0.8591911764705882,0.8591911764705882,0.14080882352941176,0.14080882352941176,0.14080882352941176,0.14080882352941176,0.9705882352941176,2.8119644233627965,0.3025053068672506,4.396009474564611,0.2903617570943969,2798.656294735828,1.0,0.0,-7.9,-15.8,1.0,edf,1h,3600,60,0.016001209000000127,
0.414807763983417,2465.668800289241,5944.124036183113,0.6825396825396826,0.31746031746031744,0.585192236016583,320,688,246566.88002892412,246566.88002892412,100.0,770.5215000903879,0.0,0.0,0.865686274509804,0.865686274509804,0.13431372549019607,0.13431372549019607,0.13431372549019607,0.13431372549019607,0.9779411764705882,2.47794858205534,0.2730759202017364,3.8143174840265215,0.2967835978841707,2465.668800289241,1.0,0.0,-7.9,-15.8,1.0,random,1h,3600,60,0.015240625000000119,
0.5703626487604364,3390.3063298379993,5944.124036183113,0.4791666666666667,0.5208333333333334,0.4296373512395636,525,483,339030.63298379997,339030.63298379997,100.00000000000001,645.772634254857,0.0,0.0,0.8531158036553921,0.8531158036553921,0.14644607843137256,0.14644607843137256,0.1377450980392157,0.14644607843137256,0.9558823551470589,0.11677473071238846,0.0,0.26111623592713307,0.16666666666666666,3390.306329838,0.0,0.0,-9.99999993922529e-08,-1.999999987845058e-07,1.0,milp,1h,3600,60,2.9204348340000004,Optimal
0.5572492327062851,6633.125114770536,11903.336470391525,0.48562933597621405,0.514370664023786,0.4427507672937149,1038,980,663312.5114770536,663312.5114770536,100.0,639.0293944865642,0.0,0.0,0.9191023294900297,0.9191023294900297,0.08051470588235295,0.08057598039215687,0.08051470588235295,0.08051470588235295,0.9558823529411765,0.11416209934091066,0.0,0.2552742145803602,0.16666666666666666,6633.125114770538,0.0,0.0,-3.552713678800501e-15,-7.105427357601002e-15,1.0,ecoflow,2h,7200,120,2.1049432920000006,
0.5034701960886391,5992.975146856925,11903.336470391525,0.6129831516352825,0.38701684836471756,0.4965298039113609,781,1237,599297.5146856925,599297.5146856925,100.0,767.34636963597,0.0,0.0,0.921813725490196,0.921813725490196,0.07818627450980392,0.07818627450980392,0.07818627450980392,0.07818627450980392,0.9705882352941176,2.8345332563669223,0.3467545491862059,3.916014309947554,0.3438025593754789,5992.975146856925,0.0,0.0,0.0,0.0,1.0,energy_first,2h,7200,120,0.03220737500000048,
0.4655706273999992,5541.843828673353,11903.336470391525,0.6600594648166501,0.3399405351833499,0.5344293726000008,686,1332,554184.3828673353,554184.3828673353,100.00000000000001,807.8489546171069,0.0,0.0,0.914889705882353,0.914889705882353,0.08511029411764706,0.08511029411764706,0.08511029411764706,0.08511029411764706,0.9632352941176471,2.4719828827303645,0.31995068274583716,3.256165603966792,0.3656186583279764,5541.843828673353,1.0,0.0,-7.9,-15.8,1.0,edf,2h,7200,120,0.03137075000000067,
0.4067436343363121,4841.606336694949,11903.336470391525,0.6942517343904856,0.30574826560951435,0.5932563656636879,617,1401,484160.63366949494,484160.63366949494,100.0,784.701189091564,0.0,0.0,0.9212009803921568,0.9212009803921568,0.07879901960784313,0.07879901960784313,0.07879901960784313,0.07879901960784313,0.9779411764705882,2.050779363130267,0.2544885797787555,2.5153003102088953,0.3993091184719511,4841.606336694949,1.0,0.0,-7.9,-15.8,1.0,random,2h,7200,120,0.030082625000000363,
0.5572492325393947,6633.125112783999,11903.336470391525,0.5,0.5,0.44275076746060527,1009,1009,663312.5112783998,663312.5112783998,100.0,657.3959477486619,0.0,0.0,0.912133115389951,0.912133115389951,0.08737745098039215,0.08737745098039215,0.08259803921568627,0.08737745098039215,0.9558823539705882,0.11416209930671728,0.0,0.2552742145039014,0.16666666666666666,6633.125112784,0.0,0.0,-5.999999963535174e-08,-1.1999999927070348e-07,1.0,milp,2h,7200,120,10.646132917,Optimal
0.5700748495508224,10181.837704242193,17860.52781010192,0.471442720369759,0.528557279630241,0.42992515044917756,1601,1428,1018183.7704242192,1018183.7704242192,100.0,635.9673769045717,0.0,0.0,0.9357868675610429,0.9357868675610429,0.06352124183006536,0.06360294117647058,0.06352124183006536,0.06352124183006536,0.9485294117647058,0.11680102318937269,0.0,0.26117502769296663,0.16666666666666666,10181.837704242194,0.0,0.0,-7.105427357601002e-15,-1.4210854715202004e-14,1.0,ecoflow,3h,10800,180,3.335158583000002,
0.5097812803687234,9104.962735094488,17860.52781010192,0.6054803565533179,0.39451964344668206,0.4902187196312766,1195,1834,910496.2735094489,910496.2735094489,100.0,761.9215677903338,0.0,0.0,0.9416666666666667,0.9416666666666667,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.9779411764705882,2.985274192967557,0.34753885419437514,4.233379253617288,0.33211872729078623,9104.96273509449,0.0,0.0,0.0,0.0,1.0,energy_first,3h,10800,180,0.048644750000001125,
