slot,avg_ecoflow,min_ecoflow,avg_energy_first,min_energy_first,avg_edf,min_edf,avg_random,min_random,avg_milp,min_milp
0,0.6911764705882353,0.0,0.6911764705882353,0.0,0.6911764705882353,0.0,0.6911764705882353,0.0,0.6911764705882353,0.0
1,0.6911764705882353,0.0,0.6764705882352942,0.0,0.6617647058823529,0.0,0.6691176470588235,0.0,0.6544117647058824,0.0
2,0.6691176470588235,0.0,0.6764705882352942,0.0,0.6691176470588235,0.0,0.6764705882352942,0.0,0.6617647063235295,0.0
3,0.6470588235294118,0.0,0.6764705882352942,0.0,0.6691176470588235,0.0,0.6691176470588235,0.0,0.6764705891176471,0.0
4,0.7132352941176471,0.0,0.7058823529411765,0.0,0.6985294117647058,0.0,0.7132352941176471,0.0,0.713235295,0.0
5,0.6799631899230955,0.0,0.6985294117647058,0.0,0.6985294117647058,0.0,0.7058823529411765,0.0,0.6799631888235295,0.0
6,0.6764705882352943,0.0,0.7058823529411765,0.0,0.6985294117647058,0.0,0.7058823529411765,0.0,0.6764705886764706,0.0
7,0.7132352941176471,0.0,0.7205882352941176,0.0,0.7132352941176471,0.0,0.7058823529411765,0.0,0.6985294117647058,0.0
8,0.7426470588235294,0.0,0.7352941176470589,0.0,0.7205882352941176,0.0,0.7205882352941176,0.0,0.7205882352941176,0.0
9,0.7058823529411765,0.0,0.7352941176470589,0.0,0.7279411764705882,0.0,0.7205882352941176,0.0,0.7279411764705882,0.0
10,0.7426470588235294,0.0,0.7426470588235294,0.0,0.7279411764705882,0.0,0.7279411764705882,0.0,0.75,0.0
11,0.7647058823529411,0.0,0.7352941176470589,0.0,0.7352941176470589,0.0,0.7352941176470589,0.0,0.7205882352941176,0.0
12,0.7352941176470589,0.0,0.75,0.0,0.7426470588235294,0.0,0.7573529411764706,0.0,0.7352941180882353,0.0
13,0.7573529411764706,0.0,0.7647058823529411,0.0,0.75,0.0,0.7647058823529411,0.0,0.7352941186764707,0.0
14,0.7573529411764707,0.0,0.7720588235294118,0.0,0.7573529411764706,0.0,0.7647058823529411,0.0,0.7500000010294119,0.0
15,0.7500000000000001,0.0,0.7720588235294118,0.0,0.7573529411764706,0.0,0.7647058823529411,0.0,0.7573529422058825,0.0
16,0.7647058823529411,0.0,0.7867647058823529,0.0,0.7794117647058824,0.0,0.7794117647058824,0.0,0.7720588239705882,0.0
17,0.7941176470588235,0.0,0.7794117647058824,0.0,0.7794117647058824,0.0,0.7794117647058824,0.0,0.7941176470588235,0.0
18,0.7979779865474926,0.0,0.7867647058823529,0.0,0.7794117647058824,0.0,0.7941176470588235,0.0,0.7681984838235294,0.0
19,0.7647058823529411,0.0,0.7941176470588235,0.0,0.7794117647058824,0.0,0.8014705882352942,0.0,0.7647058827941177,0.0
20,0.8088235294117647,0.0,0.8088235294117647,0.0,0.8014705882352942,0.0,0.8014705882352942,0.0,0.786764706764706,0.0
21,0.8014705882352942,0.0,0.8161764705882353,0.0,0.8014705882352942,0.0,0.8014705882352942,0.0,0.8014705891176471,0.0
22,0.8308823529411765,0.0,0.8382352941176471,0.0,0.8161764705882353,0.0,0.8235294117647058,0.0,0.8455882352941176,0.0
23,0.8161764705882354,0.0,0.8308823529411765,0.0,0.8308823529411765,0.0,0.8382352941176471,0.0,0.8161764705882353,0.0
24,0.8308823529411766,0.0,0.8455882352941176,0.0,0.8455882352941176,0.0,0.8529411764705882,0.0,0.830882353382353,0.0
25,0.8308823529411766,0.0,0.8455882352941176,0.0,0.8455882352941176,0.0,0.8455882352941176,0.0,0.8308823538235295,0.0
26,0.8382352941176473,0.0,0.875,0.0,0.8529411764705882,0.0,0.875,0.0,0.8529411769117647,0.0
27,0.8676470588235294,0.0,0.8823529411764706,0.0,0.8676470588235294,0.0,0.8602941176470589,0.0,0.8602941176470589,0.0
28,0.8823529411764706,0.0,0.8897058823529411,0.0,0.875,0.0,0.8823529411764706,0.0,0.8970588235294118,0.0
29,0.8970588235294118,0.0,0.875,0.0,0.8676470588235294,0.0,0.875,0.0,0.8564337775,0.0
30,0.9009191630180813,0.0,0.8897058823529411,0.0,0.875,0.0,0.8970588235294118,0.0,0.8602941176470589,0.0
31,0.8676470588235298,0.0,0.8970588235294118,0.0,0.8970588235294118,0.0,0.8970588235294118,0.0,0.8676470592647059,0.0
32,0.8750000000000003,0.0,0.9044117647058824,0.0,0.8970588235294118,0.0,0.9117647058823529,0.0,0.875000000882353,0.0
33,0.8970588235294119,0.0,0.9117647058823529,0.0,0.9044117647058824,0.0,0.9044117647058824,0.0,0.8897058832352942,0.0
34,0.8970588235294119,0.0,0.9411764705882353,0.0,0.9264705882352942,0.0,0.9264705882352942,0.0,0.9264705886764706,0.0
35,0.9632352941176471,0.0,0.9485294117647058,0.0,0.9338235294117647,0.0,0.9411764705882353,0.0,0.9558823529411765,0.0
36,0.9779411764705882,0.0,0.9485294117647058,0.0,0.9485294117647058,0.0,0.9632352941176471,0.0,0.9338235294117647,0.0
37,0.9338235294117647,0.0,0.9485294117647058,0.0,0.9411764705882353,0.0,0.9558823529411765,0.0,0.9338235298529413,0.0
38,0.9411764705882355,0.0,0.9558823529411765,0.0,0.9558823529411765,0.0,0.9632352941176471,0.0,0.9411764714705884,0.0
39,0.9411764705882357,0.0,0.9705882352941176,0.0,0.9485294117647058,0.0,0.9632352941176471,0.0,0.9411764733823531,0.0
40,0.9485294117647061,0.0,0.9852941176470589,0.0,0.9705882352941176,0.0,0.9705882352941176,0.0,0.9558823552941178,0.0
41,0.9852941176470589,0.0,0.9779411764705882,0.0,0.9705882352941176,0.0,0.9705882352941176,0.0,0.9852941176470589,0.0
42,0.9593749546289778,0.0,0.9779411764705882,0.0,0.9632352941176471,0.0,0.9852941176470589,0.0,0.9593749539705883,0.0
43,0.9485294117647058,0.0,0.9779411764705882,0.0,0.9705882352941176,0.0,0.9705882352941176,0.0,0.9485294126470587,0.0
44,1.0,1.0,0.9852941176470589,0.0,0.9779411764705882,0.0,0.9852941176470589,0.0,0.9984374588235295,0.7874943999999999
45,0.959374954628978,0.0,0.9779411764705882,0.0,0.9705882352941176,0.0,0.9779411764705882,0.0,0.9578124142647059,0.0
46,0.9485294117647058,0.0,0.9779411764705882,0.0,0.9705882352941176,0.0,0.9779411764705882,0.0,0.9485294135588236,0.0
